seed,hi_mae,hi_rmse,n_windows,pred_crossed_tests,pred_cross_rate,eol_mae_hours,eol_rmse_hours,rul_mae_hours
1,0.020580348299696512,0.03615202063962126,2628,7,1.0,0.1713406137551147,0.33049027134190273,0.11903176103823467
7,0.021124662427720764,0.032823730353225576,2628,7,1.0,0.2275686957684562,0.47142087770049396,0.14065313634860915
21,0.016002700813415205,0.03330412430194535,2628,7,1.0,0.16676445576579665,0.32755239167860956,0.1153854991281559
42,0.021567580262081432,0.034608111952534035,2628,7,1.0,0.056304867471388964,0.06545979766444232,0.04914802531102952
100,0.021038102277293788,0.03251456006719294,2628,7,1.0,0.22800352514490457,0.47730748050406335,0.13986840248795754
