decision,metric,n_seeds,mean,std,min,max
Raw p>=0.5,warning_covered_tests,3,7.0,0.0,7.0,7.0
Raw p>=0.5,missed_warning_tests,3,0.0,0.0,0.0,0.0
Raw p>=0.5,false_before_target_tests,3,5.666666666666667,0.5773502691896258,5.0,6.0
Raw p>=0.5,false_warning_window_rate_overall,3,0.11029110291102912,0.0018788748236801345,0.10865108651086511,0.11234112341123412
Raw p>=0.5,false_warning_window_rate,3,0.3621839094370897,0.009062442023305854,0.35296707250572507,0.37108363226872587
Raw p>=0.5,lead_time_error_mae_h,3,1.2874656003412037,0.022158239129352338,1.263268202543259,1.3067651336480466
Raw p>=0.5,lead_time_error_mean_h,3,1.280586974562279,0.015857295318603908,1.263268202543259,1.2943940704156247
Calibrated,warning_covered_tests,3,7.0,0.0,7.0,7.0
Calibrated,missed_warning_tests,3,0.0,0.0,0.0,0.0
Calibrated,false_before_target_tests,3,2.0,0.0,2.0,2.0
Calibrated,false_warning_window_rate_overall,3,0.06286729533962006,0.020851170919553425,0.03936039360393604,0.07913079130791308
Calibrated,false_warning_window_rate,3,0.1490563967522493,0.029294934258520054,0.11603028308097432,0.17190585911784068
Calibrated,lead_time_error_mae_h,3,1.22629626024337,0.0011976295661870924,1.2249133927481508,1.226996336664472
Calibrated,lead_time_error_mean_h,3,1.0415540905225849,0.0031387857413830936,1.0381315691130504,1.0442981805120204
