config,table,metric,n_seeds,mean,std,min,max
FrozenPriorEventHeads,HI,mae,3,0.023752937605942784,0.0,0.023752937605942784,0.023752937605942784
FrozenPriorEventHeads,HI,rmse,3,0.0356248851774732,0.0,0.0356248851774732,0.0356248851774732
FrozenPriorEventHeads,HI_threshold_RUL,pred_cross_rate,3,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143
FrozenPriorEventHeads,HI_threshold_RUL,eol_mae_hours,3,0.023048292107407043,0.0,0.023048292107407043,0.023048292107407043
FrozenPriorEventHeads,HI_threshold_RUL,rul_mae_hours,3,0.020044981963953233,0.0,0.020044981963953233,0.020044981963953233
FrozenPriorEventHeads,Increment_gate,increment_mae,3,0.00084936813234034,0.0,0.00084936813234034,0.00084936813234034
FrozenPriorEventHeads,Increment_gate,increment_rmse,3,0.004932667430553868,0.0,0.004932667430553868,0.004932667430553868
FrozenPriorEventHeads,Increment_gate,gate_mean,3,0.07196027609548525,0.04144443490108245,0.04483278283895306,0.11966659902494252
FrozenPriorEventHeads,Increment_gate,gate_p95,3,0.08945710013310114,0.052941634394200514,0.056170727312564846,0.15050557553768157
FrozenPriorEventHeads,Increment_gate,extra_increment_mean,3,0.0,0.0,0.0,0.0
FrozenPriorEventHeads,Increment_gate,multiplier_mean,3,1.0,0.0,1.0,1.0
FrozenPriorEventHeads,FPT_event,event_brier,3,0.03149599806358657,0.0032199942896129507,0.02909281265909801,0.035154598734657955
FrozenPriorEventHeads,FPT_event,false_event_window_rate,3,0.005669372503543358,0.004060288946421526,0.0015461925009663702,0.009663703131039814
FrozenPriorEventHeads,FPT_event,event_covered_tests,3,2.0,0.0,2.0,2.0
FrozenPriorEventHeads,FPT_event,missed_event_tests,3,5.0,0.0,5.0,5.0
FrozenPriorEventHeads,FPT_event,event_lead_time_error_mae_hours,3,3.6168095687448623,5.903160723423733,0.04305499466136098,10.430466660963637
FrozenPriorEventHeads,Warning,warning_brier,3,0.10136639893344242,0.0020482342546333026,0.10007619891282007,0.10372812397326435
FrozenPriorEventHeads,Warning,false_warning_window_rate,3,0.1098810988109881,0.0018788748236801345,0.1078310783107831,0.11152111521115211
FrozenPriorEventHeads,Warning,warning_covered_tests,3,6.666666666666667,0.5773502691896258,6.0,7.0
FrozenPriorEventHeads,Warning,missed_warning_tests,3,0.3333333333333333,0.5773502691896258,0.0,1.0
FrozenPriorEventHeads,Warning,missed_warning_rate,3,0.047619047619047616,0.08247860988423225,0.0,0.14285714285714285
FrozenPriorEventHeads,Warning,warning_lead_time_error_mae_hours,3,1.3749793248310211,0.12062908853438106,1.2675256419128604,1.5054632931326826
MultiplierEventPGRGRU,HI,mae,3,0.019386685033136775,0.00024028720827260166,0.019185720193113938,0.019652841205642025
MultiplierEventPGRGRU,HI,rmse,3,0.03521616559357104,0.00024893995315031084,0.03492872203792159,0.03536169070474814
MultiplierEventPGRGRU,HI_threshold_RUL,pred_cross_rate,3,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
MultiplierEventPGRGRU,HI_threshold_RUL,eol_mae_hours,3,0.023921159758659726,0.0031718269781981136,0.021748866564537655,0.027560998406204445
MultiplierEventPGRGRU,HI_threshold_RUL,rul_mae_hours,3,0.021588552318454014,0.0026905545236984526,0.019739893615932532,0.024675271411687256
MultiplierEventPGRGRU,Increment_gate,increment_mae,3,0.0009569353169747051,2.6597658033614075e-05,0.0009278610306654173,0.0009800427471477193
MultiplierEventPGRGRU,Increment_gate,increment_rmse,3,0.00516189664248675,4.5587971383121566e-05,0.005117925037524054,0.005208945098510406
MultiplierEventPGRGRU,Increment_gate,gate_mean,3,0.06545567483812627,0.02511183707815259,0.045002500814663164,0.0934826864435053
MultiplierEventPGRGRU,Increment_gate,gate_p95,3,0.078305081029733,0.026467592438191325,0.06153034418821335,0.10881686136126519
MultiplierEventPGRGRU,Increment_gate,extra_increment_mean,3,0.0,0.0,0.0,0.0
MultiplierEventPGRGRU,Increment_gate,multiplier_mean,3,1.0858410266891905,0.006775701462768822,1.0794388113935713,1.0929368563802238
MultiplierEventPGRGRU,FPT_event,event_brier,3,0.0812848053490436,0.011424216804803744,0.0689468132048156,0.09149647281392334
MultiplierEventPGRGRU,FPT_event,false_event_window_rate,3,0.06236309753897693,0.046806386618110485,0.01662156938538848,0.11016621569385389
MultiplierEventPGRGRU,FPT_event,event_covered_tests,3,1.3333333333333333,0.5773502691896257,1.0,2.0
MultiplierEventPGRGRU,FPT_event,missed_event_tests,3,5.666666666666667,0.5773502691896258,5.0,6.0
MultiplierEventPGRGRU,FPT_event,event_lead_time_error_mae_hours,3,0.2558419043937373,0.10028291814594656,0.15807864225159088,0.3584675779566169
MultiplierEventPGRGRU,Warning,warning_brier,3,0.0788341024131634,0.00713552048762818,0.070962596867018,0.08487822018241517
MultiplierEventPGRGRU,Warning,false_warning_window_rate,3,0.11029110291102912,0.0018788748236801345,0.10865108651086511,0.11234112341123412
MultiplierEventPGRGRU,Warning,warning_covered_tests,3,7.0,0.0,7.0,7.0
MultiplierEventPGRGRU,Warning,missed_warning_tests,3,0.0,0.0,0.0,0.0
MultiplierEventPGRGRU,Warning,missed_warning_rate,3,0.0,0.0,0.0,0.0
MultiplierEventPGRGRU,Warning,warning_lead_time_error_mae_hours,3,1.2874656003412037,0.022158239129352362,1.2632682025432587,1.3067651336480464
