"Test","HI MAE(Simulink, Python)","HI RMSE(Simulink, Python)","Max error","Python EOL/h","Simulink EOL/h","EOL error/h","是否触发 HI<=0.2"
"6","0.02262097064","0.0303519541","0.04396177574","0.7059438899","0.7059438899","0","Yes"
"13","0.003550670153","0.01008961442","0.0681700916","1.813739721","1.813739721","0","Yes"
"14","0.003306544291","0.01013715017","0.07679724703","20.03874417","20.03874417","0","Yes"
"20","0.0009501142733","0.005449036909","0.06214042876","8.176871946","8.176871946","0","Yes"
"25","1.998706229e-05","0.0004961094101","0.01322598026","11.17068","11.17068","0","Yes"
"34","7.807197801e-09","1.249212416e-08","3.345182498e-08","41.80998583","41.80998583","0","Yes"
"42","7.905037962e-09","1.30491503e-08","3.8219234e-08","0.5702119432","0.5702119432","0","Yes"
