model,seed,split,warning_covered_tests,missed_warning_tests,false_before_target_tests,false_warning_windows,non_target_windows,false_warning_window_rate_overall,false_warning_window_rate,lead_time_error_mae_h,lead_time_error_mean_h
MultiplierEventPGRGRU_seed17,17,test,7,0,2,96,2439,0.03936039360393604,0.11603028308097432,1.226996336664472,1.0381315691130504
MultiplierEventPGRGRU_seed17,17,train,25,0,1,3,3746,0.000800854244527496,0.001875,0.1827151992917058,-0.1792728689312932
MultiplierEventPGRGRU_seed17,17,val,1,0,0,0,273,0.0,0.0,0.13036727905273526,-0.13036727905273526
MultiplierEventPGRGRU_seed42,42,test,7,0,2,171,2439,0.07011070110701106,0.15923304805793287,1.2269790513174872,1.0422325219426838
MultiplierEventPGRGRU_seed42,42,train,25,0,1,3,3746,0.000800854244527496,0.001875,0.17349292069673525,-0.17005059033632267
MultiplierEventPGRGRU_seed42,42,val,1,0,0,0,273,0.0,0.0,0.13036727905273526,-0.13036727905273526
MultiplierEventPGRGRU_seed73,73,test,7,0,2,193,2439,0.07913079130791308,0.17190585911784068,1.2249133927481508,1.0442981805120204
MultiplierEventPGRGRU_seed73,73,train,23,2,1,3,3746,0.000800854244527496,0.001875,0.17530117119136032,-0.1715595077561293
MultiplierEventPGRGRU_seed73,73,val,1,0,0,0,273,0.0,0.0,0.13036727905273526,-0.13036727905273526
